especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD30D,2020-09-15,51,52,50,50,167334,1600138800
GD30D,2020-09-16,50,50,47.2,48.1,53736,1600225200
GD30D,2020-09-17,48,48.49,45,46.25,1386322,1600311600
GD30D,2020-09-18,46.5,47.5,45.74,46.89,1264142,1600398000
GD30D,2020-09-21,45,45.75,45,45.75,544923,1600657200
GD30D,2020-09-22,45.5,46.4,44.56,45.33,947290,1600743600
GD30D,2020-09-23,44.5,46.69,44.13,46.3,1548946,1600830000
GD30D,2020-09-24,45.75,46.5,45.3,45.7,7508058,1600916400
GD30D,2020-09-25,45.03,45.5,44.91,45.29,4831729,1601002800
GD30D,2020-09-28,45.29,46.5,44.84,44.85,986606,1601262000
GD30D,2020-09-29,44.5,44.75,44.1,44.47,3479407,1601348400
GD30D,2020-09-30,45.15,45.15,44.54,44.71,1574286,1601434800
GD30D,2020-10-01,45.4,45.4,44.4,44.4,3428511,1601521200
GD30D,2020-10-02,44.35,44.35,43.65,43.99,2377301,1601607600
GD30D,2020-10-05,43.9,43.95,43.1,43.45,2122748,1601866800
GD30D,2020-10-06,43.4,44.55,43.25,44,2940794,1601953200
GD30D,2020-10-07,43.6,44.6,43.52,44.5,1199412,1602039600
GD30D,2020-10-08,44.71,44.8,44,44.8,3543174,1602126000
GD30D,2020-10-09,44.7,45.25,44.4,45.02,1446711,1602212400
GD30D,2020-10-13,44.8,45.3,44.45,45.01,2691006,1602558000
GD30D,2020-10-14,44.47,45.5,44.47,45.5,2577732,1602644400
GD30D,2020-10-15,45.5,45.5,44.2,44.5,3643252,1602730800
GD30D,2020-10-16,43.7,44.9,43.7,44.3,1758132,1602817200
GD30D,2020-10-19,44,44.32,43.03,43.8,3585880,1603076400
GD30D,2020-10-20,43,43,41.27,41.7,3329984,1603162800
GD30D,2020-10-21,42,42.25,40.25,40.55,1032296,1603249200
GD30D,2020-10-22,40.03,41.5,39.85,41.5,1858967,1603335600
GD30D,2020-10-23,41.75,42.5,41.1,42.5,1929517,1603422000
GD30D,2020-10-26,41.3,42,40.5,40.5,825668,1603681200
GD30D,2020-10-27,40.49,41.1,40,40.5,3285112,1603767600
GD30D,2020-10-28,40,40.9,38.99,40.5,2929975,1603854000
GD30D,2020-10-29,40.5,40.5,39.15,39.58,1132433,1603940400
GD30D,2020-10-30,39.44,39.85,38.82,39.85,3760293,1604026800
GD30D,2020-11-02,39.01,40.47,39,40.47,4362926,1604286000
GD30D,2020-11-03,40.25,41.25,39.57,41.15,3479849,1604372400
GD30D,2020-11-04,41.25,41.25,40.5,40.92,4637375,1604458800
GD30D,2020-11-05,41.15,41.55,40.6,40.65,5330680,1604545200
GD30D,2020-11-06,41,41,40.5,40.5,416625,1604631600
GD30D,2020-11-09,42,42,41.25,41.64,1842708,1604890800
GD30D,2020-11-10,41,41.99,40.6,41.5,1827677,1604977200
GD30D,2020-11-11,41.75,41.9,41.3,41.9,732442,1605063600
GD30D,2020-11-12,41.5,42.25,41.1,42.25,2308221,1605150000
GD30D,2020-11-13,41.65,42.8,41.65,42.5,2481433,1605236400
GD30D,2020-11-16,42.79,42.9,42.5,42.84,3866249,1605495600
GD30D,2020-11-17,42,42.55,41.41,41.69,3234882,1605582000
GD30D,2020-11-18,41.7,41.9,41.31,41.41,2655360,1605668400
