period,fecha,interes,cap,amort,residual
1,09/01/2023,0.25,0,0,100
2,09/07/2023,0.25,0,0,100
3,09/01/2024,0.38,0,0,100
4,09/07/2024,0.38,0,4,96
5,09/01/2025,0.36,0,8,88
6,09/07/2025,0.33,0,8,80
7,09/01/2026,0.3,0,8,72
8,09/07/2026,0.27,0,8,64
9,09/01/2027,0.24,0,8,56
10,09/07/2027,0.21,0,8,48
11,09/01/2028,0.42,0,8,40
12,09/07/2028,0.35,0,8,32
13,09/01/2029,0.28,0,8,24
14,09/07/2029,0.21,0,8,16
15,09/01/2030,0.14,0,8,8
16,09/07/2030,0.07,0,8,0
