Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
ADI,27.16,2.50,7.14,4.12,1.91%,0.00
ADP,28.10,30.51,5.07,2.05,2.27%,1.00
MMC,28.18,8.14,4.21,2.90,1.31%,1.18
EQNR,3.18,1.56,0.60,0.55,11.48%,0.60
EL,59.81,14.95,5.36,8.00,1.07%,0.91
VRTX,26.58,6.29,9.79,2.89,-,0.03
REGN,20.97,3.78,7.14,7.49,-,0.12
MO,14.90,-,3.36,3.21,7.91%,-
PDD,21.59,5.10,4.43,0.53,-,0.13
PYPL,36.28,4.27,3.03,2.46,-,0.53
BTI,10.08,0.89,2.39,0.85,7.30%,0.57
CB,16.19,1.66,1.85,1.13,1.65%,0.30
MUFG,25.95,0.62,2.44,3.46,1.69%,2.30
ZTS,39.11,18.58,9.96,3.60,0.85%,1.79
SO,22.49,2.63,2.74,3.08,3.81%,1.93
CNI,20.36,5.19,6.11,3.54,1.96%,0.80
ENB,42.39,2.06,2.02,8.17,6.70%,1.53
PGR,98.34,5.18,1.52,3.56,0.29%,0.41
IBN,19.43,3.17,5.30,0.91,0.55%,0.94
HCA,14.40,-,1.29,1.85,0.84%,-
DUK,20.21,1.61,2.66,3.48,4.07%,1.59
BSX,88.94,4.25,5.73,7.31,-,0.51
BDX,51.06,2.95,3.98,8.11,1.38%,0.65
FISV,32.30,2.55,4.11,2.29,-,0.74
CI,11.85,1.70,0.41,1.05,1.94%,0.69
GSK,13.09,4.94,2.02,2.62,3.87%,1.77
ITW,24.76,24.03,4.60,5.93,2.17%,2.51
TGT,26.36,6.47,0.67,-,2.74%,1.44
ABNB,42.88,13.68,8.65,-,-,0.36
PBR,1.83,0.95,0.56,-,54.96%,0.77
ABB,23.09,5.49,2.34,1.58,2.55%,0.71
UBS,10.35,1.10,4.47,1.02,2.74%,2.99
LRCX,14.59,8.41,3.70,1459.18,1.32%,0.60
NOC,14.64,4.65,1.90,4.88,1.50%,0.98
SLB,18.39,3.90,2.29,0.56,2.03%,0.71
AON,26.82,-,5.47,2.48,0.76%,-
EOG,9.04,2.81,2.66,31.73,2.76%,0.20
MU,46.24,1.49,2.94,-,0.71%,0.26
EQIX,94.34,5.83,9.27,5.35,1.88%,1.31
AMX,14.80,3.32,1.43,1.23,2.96%,1.78
ETN,27.21,3.90,3.23,3.03,2.06%,0.51
PBR-A,1.71,0.17,0.10,-,61.75%,-
CME,23.60,2.48,12.97,5.39,2.37%,0.13
WM,30.38,9.96,3.30,4.05,1.69%,2.26
HUM,21.56,4.00,0.69,1.59,0.67%,0.72
CNQ,8.75,2.40,2.11,8.87,4.30%,0.34
VALE,4.51,1.68,1.52,-,7.56%,0.35
CL,37.57,166.25,3.61,7.43,2.41%,21.86
APD,29.04,4.69,5.02,3.30,2.38%,0.58
BMO,7.72,1.18,2.60,1.40,4.67%,2.53
INFY,22.04,7.16,3.51,1.49,2.67%,0.10
TRI,46.05,5.35,9.51,2.71,1.49%,0.42
MELI,133.07,35.16,5.94,2.87,-,2.60
RELX,31.29,13.40,5.83,4.41,1.89%,1.78
CSX,15.05,5.11,4.08,1.84,1.44%,1.45
ATVI,33.07,3.17,7.47,2.55,0.60%,0.19
SHOP,-,7.49,10.84,-,-,0.11
