period,fecha,interes,cap,amort,residual
1,10/07/2023,0.5,0,0,100
2,09/01/2024,0.5,0,0,100
3,10/07/2024,0.5,0,0,100
4,09/01/2025,0.5,0,10,90
5,10/07/2025,0.45,0,10,80
6,09/01/2026,0.4,0,10,70
7,10/07/2026,0.35,0,10,60
8,11/01/2027,0.3,0,10,50
9,12/07/2027,0.25,0,10,40
10,10/01/2028,0.2,0,10,30
11,10/07/2028,0.15,0,10,20
12,09/01/2029,0.1,0,10,10
13,10/07/2029,0.05,0,10,0
