"Fecha de pago",Bono,Ticker,Renta,Amortización,R+A,,Moneda
2023/01/09,"Bono República Argentina Ley",GD35,0.75,0,0.75,USD
2023/07/09,"Bono República Argentina Ley",GD35,0.75,0,0.75,USD
2024/01/09,"Bono República Argentina Ley",GD35,1.81,0,1.81,USD
2024/07/09,"Bono República Argentina Ley",GD35,1.81,0,1.81,USD
2025/01/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2025/07/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2026/01/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2026/07/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2027/01/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2027/07/09,"Bono República Argentina Ley",GD35,2.06,0,2.06,USD
2028/01/09,"Bono República Argentina Ley",GD35,2.38,0,2.38,USD
2028/07/09,"Bono República Argentina Ley",GD35,2.38,0,2.38,USD
2029/01/09,"Bono República Argentina Ley",GD35,2.5,0,2.5,USD
2029/07/09,"Bono República Argentina Ley",GD35,2.5,0,2.5,USD
2030/01/09,"Bono República Argentina Ley",GD35,2.5,0,2.5,USD
2030/07/09,"Bono República Argentina Ley",GD35,2.5,0,2.5,USD
2031/01/09,"Bono República Argentina Ley",GD35,2.5,10,12.5,USD
2031/07/09,"Bono República Argentina Ley",GD35,2.25,10,12.25,USD
2032/01/09,"Bono República Argentina Ley",GD35,2,10,12,USD
2032/07/09,"Bono República Argentina Ley",GD35,1.75,10,11.75,USD
2033/01/09,"Bono República Argentina Ley",GD35,1.5,10,11.5,USD
2033/07/09,"Bono República Argentina Ley",GD35,1.25,10,11.25,USD
2034/01/09,"Bono República Argentina Ley",GD35,1,10,11,USD
2034/07/09,"Bono República Argentina Ley",GD35,0.75,10,10.75,USD
2035/01/09,"Bono República Argentina Ley",GD35,0.5,10,10.5,USD
2035/07/09,"Bono República Argentina Ley",GD35,0.25,10,10.25,USD
