period,fecha,interes,cap,amort,residual
1,10/07/2023,0.75,0,0,100.000
2,09/01/2024,1.812,0,0,100.000
3,10/07/2024,1.812,0,0,100.000
4,09/01/2025,2.062,0,0,100.000
5,10/07/2025,2.062,0,0,100.000
6,09/01/2026,2.062,0,0,100.000
7,10/07/2026,2.062,0,0,100.000
8,11/01/2027,2.062,0,0,100.000
9,12/07/2027,2.062,0,0,100.000
10,10/01/2028,2.375,0,0,100.000
11,10/07/2028,2.375,0,0,100.000
12,09/01/2029,2.5,0,0,100.000
13,10/07/2029,2.5,0,0,100.000
14,09/01/2030,2.5,0,0,100.000
15,10/07/2030,2.5,0,0,100.000
16,09/01/2031,2.5,0,10,90.000
17,10/07/2031,2.25,0,10,80.000
18,09/01/2032,2,0,10,70.000
19,12/07/2032,1.75,0,10,60.000
20,10/01/2033,1.5,0,10,50.000
21,11/07/2033,1.25,0,10,40.000
22,09/01/2034,1,0,10,30.000
23,10/07/2034,0.75,0,10,20.000
24,09/01/2035,0.5,0,10,10.000
25,10/07/2035,0.25,0,10,0.000
